movie_id,preference_key,movie_title,star_cast,rating,year,place,vote,link
124,4,Like stars on Earth,"Aamir Khan (dir.), Darsheel Safary, Aamir Khan",8.218894029,2007,124,,/title/tt0986264/
125,1,Batman inicia,"Christopher Nolan (dir.), Christian Bale, Michael Caine",8.217503925,2005,125,,/title/tt0372784/
126,2,Por unos dólares más,"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",8.212392616,1965,126,,/title/tt0059578/
127,3,Dangal,"Nitesh Tiwari (dir.), Aamir Khan, Sakshi Tanwar",8.211724115,2016,127,,/title/tt5074352/
128,4,La caída,"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",8.210914029,2004,128,,/title/tt0363163/
129,1,El chiquillo,"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",8.201984825,1921,129,,/title/tt0012349/
130,2,Una Eva y dos Adanes,"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",8.197885226,1959,130,,/title/tt0053291/
131,3,El Padre,"Florian Zeller (dir.), Anthony Hopkins, Olivia Colman",8.190541751,2020,131,,/title/tt10272386/
132,4,La malvada,"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",8.184946265,1950,132,,/title/tt0042192/
133,1,Green Book: Una amistad sin fronteras,"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",8.180963281,2018,133,,/title/tt6966692/
134,2,El lobo de Wall Street,"Martin Scorsese (dir.), Leonardo DiCaprio, Jonah Hill",8.180473206,2013,134,,/title/tt0993846/
135,3,Los imperdonables,"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",8.173005268,1992,135,,/title/tt0105695/
136,4,Casino,"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",8.172611834,1995,136,,/title/tt0112641/
137,1,El laberinto del fauno,"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",8.1722217,2006,137,,/title/tt0457430/
138,2,Juicio en Nuremberg,"Stanley Kramer (dir.), Spencer Tracy, Burt Lancaster",8.171888945,1961,138,,/title/tt0055031/
139,3,Ran,"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",8.166796232,1985,139,,/title/tt0089881/
140,4,Una mente brillante,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.163331922,2001,140,,/title/tt0268978/
141,1,El sexto sentido,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.161403579,1999,141,,/title/tt0167404/
142,2,Monty Python and the Holy Grail,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.160930587,1975,142,,/title/tt0071853/
143,3,Petróleo sangriento,"Paul Thomas Anderson (dir.), Daniel Day-Lewis, Paul Dano",8.159392328,2007,143,,/title/tt0469494/
144,4,The Truman Show: Historia de una vida,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.156833251,1998,144,,/title/tt0120382/
145,1,Yojimbo,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.154699487,1961,145,,/title/tt0055630/
146,2,El tesoro de la Sierra Madre,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.152929514,1948,146,,/title/tt0040897/
147,3,La isla siniestra,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.150984222,2010,147,,/title/tt1130884/
148,4,El gran escape,"John Sturges (dir.), Steve McQueen, James Garner",8.150018214,1963,148,,/title/tt0057115/
149,1,Rashomon,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.148544221,1950,149,,/title/tt0042876/
150,2,Parque jurásico,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.145447375,1993,150,,/title/tt0107290/
151,3,Kill Bill Vol 1,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.144683734,2003,151,,/title/tt0266697/
152,4,Buscando a Nemo,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.141698783,2003,152,,/title/tt0266543/
